time,total_cab_power
59760.0,15178.209413999999
59820.0,14828.64
59880.0,13240.510155
59940.0,11824.340364
60000.0,12891.776189
60060.0,14842.19918
60120.0,14501.679943
60180.0,15066.48767
60240.0,14951.111357
60300.0,15043.268237
60360.0,15188.679965
60420.0,14509.276183
60480.0,15051.993694
60540.0,15080.965699
60600.0,14338.072145
60660.0,14743.391520000001
60720.0,15016.072162
60780.0,15061.268241
60840.0,14947.04541
60900.0,13962.425022000001
60960.0,14873.42
61020.0,14676.25692
61080.0,14897.248626
61140.0,15026.797641
61200.0,14918.562371
61260.0,15126.091737
61320.0,14968.83389
61380.0,14925.072162
61440.0,14526.130971999999
61500.0,14465.34
61560.0,14815.10307
61620.0,14878.44919
61680.0,14383.103061
61740.0,14195.25689
61800.0,14697.279999999999
61860.0,14465.189758
61920.0,13978.812108
61980.0,14762.699624
62040.0,14858.876137
62100.0,15097.43001
62160.0,14431.526236
62220.0,15084.013417
62280.0,14992.27616
62340.0,15048.131014999999
62400.0,14897.150532
62460.0,14537.699528
62520.0,14609.006969999999
62580.0,14729.483914
62640.0,14691.047306999999
62700.0,14605.430016
62760.0,15036.464379
62820.0,14797.405467
62880.0,13821.346659
62940.0,14605.66075
63000.0,14961.268228
63060.0,14829.15918
63120.0,15026.18004
63180.0,14892.091747999999
63240.0,14907.072102999999
63300.0,14671.89156
63360.0,14145.8
63420.0,14630.915295
63480.0,14441.915332
63540.0,15082.209458000001
63600.0,14569.483962999999
63660.0,15281.4684
63720.0,14239.44
63780.0,15264.31465
63840.0,14255.641475999999
63900.0,13840.872322
63960.0,14704.69924
64020.0,14832.189816
64080.0,14964.06464
64140.0,14789.557527
64200.0,14920.42
64260.0,15044.880000000001
64320.0,14955.287777
64380.0,14635.583833
64440.0,15088.778108999999
64500.0,14739.621207
64560.0,15059.170196
64620.0,14705.83381
64680.0,14790.719184
64740.0,15154.160767
64800.0,14836.87226
64860.0,13744.366308
64920.0,12581.51016
64980.0,11782.680002000001
65040.0,14631.410820000001
65100.0,14304.853047
65160.0,15088.817266
65220.0,14574.660777
65280.0,14843.523114
65340.0,14893.425164
65400.0,14815.150591
65460.0,14819.333859999999
65520.0,14426.622309999999
65580.0,14514.295417000001
65640.0,15076.307411
65700.0,14543.248651
65760.0,15084.108532999999
65820.0,14837.013297
65880.0,14930.660820000001
65940.0,14612.915384
66000.0,14603.778031
66060.0,13988.67997
66120.0,14940.333849999999
66180.0,14958.56
66240.0,15117.248626
66300.0,15071.0262
66360.0,14861.492508
66420.0,15114.3
66480.0,14868.60311
66540.0,14849.405486
66600.0,14671.200828
66660.0,14760.85303
66720.0,15034.73772
66780.0,14868.640841
66840.0,14775.758405
66900.0,14651.856464
66960.0,14717.904412
67020.0,14870.04538
67080.0,13648.032909
67140.0,14903.601567
67200.0,14588.307444
67260.0,15119.150609
67320.0,14951.6031
67380.0,14492.68
67440.0,14504.83384
67500.0,14850.640778
67560.0,14981.25684
67620.0,15111.20937
67680.0,14478.12231
67740.0,14858.895671
67800.0,14974.621224999999
67860.0,14596.7569
67920.0,14995.37225
67980.0,14977.346664
68040.0,14903.895662
68100.0,14578.94916
68160.0,13961.814629
68220.0,14950.81468
68280.0,14557.18
68340.0,14963.06462
68400.0,15195.960000000001
68460.0,14889.268192
68520.0,14725.295329999999
68580.0,14833.62236
68640.0,14716.699999999999
68700.0,14672.327119
68760.0,15084.229105
68820.0,14570.85653
68880.0,14630.44926
68940.0,14650.2569
69000.0,15101.876073
69060.0,14371.353
69120.0,14356.052548
69180.0,14758.876079
69240.0,13401.122312
69300.0,14749.10307
69360.0,14629.601588
69420.0,14967.599999999999
69480.0,14834.640705
69540.0,14606.776137
69600.0,14915.680028
69660.0,14563.180023
69720.0,14567.21843
69780.0,14650.94
69840.0,14809.968499999999
69900.0,14808.836858
69960.0,14840.251457
70020.0,14655.58
70080.0,15140.859999999999
70140.0,15039.072155
70200.0,14736.487683
70260.0,14748.915302
70320.0,14645.98
70380.0,12782.307391
70440.0,11812.32149
70500.0,10273.000731
70560.0,7353.328174
70620.0,7278.793227
70680.0,7554.264897999999
70740.0,11761.954516
70800.0,12229.4159
70860.0,13638.833816999999
70920.0,14713.366307
70980.0,14395.934867
71040.0,14889.52619
71100.0,14922.737589999999
71160.0,28149.9
71220.0,14663.621259
71280.0,14725.02615
71340.0,14722.566805
71400.0,14926.464291
71460.0,14632.248644
71520.0,14515.699605
71580.0,15037.98772
71640.0,14637.11139
71700.0,13456.562358
71760.0,14802.82
71820.0,15039.170236
71880.0,15089.50691
71940.0,15039.00686
72000.0,14104.974106
72060.0,14785.719235
72120.0,14758.537118
72180.0,14984.4877
72240.0,14220.915318
72300.0,15129.503526
72360.0,14733.93008
72420.0,14896.405528
72480.0,14463.045337
72540.0,14096.372343
72600.0,13972.679999
72660.0,14900.817217
72720.0,15025.48763
72780.0,15139.856473
72840.0,15024.483893
72900.0,14762.5069
72960.0,14622.199283
73020.0,15024.32
73080.0,14795.72079
73140.0,14499.526163
73200.0,15040.954472
73260.0,14911.9
73320.0,14928.66
73380.0,14226.237684
73440.0,13659.44924
73500.0,14729.189793
73560.0,14844.60314
73620.0,15057.75699
73680.0,14646.621205
73740.0,14893.777995
73800.0,14795.256879999999
73860.0,14705.130951
73920.0,15054.954494
